,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,revenue
0,The Devil's Bleeding Crown,14,238653,1.85E-05,0.55,0.917,0.214,7,0.0333,-4.575,1,0.0378,109.552,3,0.245,4038
1,BlowinUpTheSpot,24,122000,0.000807,0.662,0.725,0.899,9,0.17,-6.08,0,0.0801,96.106,4,0.419,15505
2,"I Can't Help Myself (Sugar Pie, Honey Bunch)",57,166466,0.197,0.692,0.633,0,0,0.0929,-7.733,1,0.0291,126.812,4,0.965,4632
3,Mambo Gozon,40,168986,0.0562,0.711,0.43,0.883,4,0.258,-15.717,0,0.0816,104.986,4,0.602,8103
4,Unfinished Business,45,215405,0.527,0.607,0.581,0.000107,0,0.098,-6.157,0,0.135,179.823,4,0.668,2920
5,Another Life,57,358626,0.127,0.572,0.61,0.0295,9,0.0953,-7.994,1,0.0448,71.254,4,0.364,62113
6,If You Could Read My Mind,60,229560,0.68,0.603,0.252,6.96E-05,2,0.147,-12.402,1,0.0337,122.631,4,0.179,6157
7,Ese Hombre,40,280600,0.727,0.562,0.808,0.000922,9,0.0644,-5.886,0,0.0881,86.321,4,0.597,88183
8,Sweet Caroline,72,203573,0.589,0.538,0.127,0.00017,11,0.238,-16.057,1,0.0284,62.829,4,0.527,2383
9,Real Muthaphuckkin G's,15,332626,0.0174,0.735,0.797,0,11,0.62,-4.611,0,0.285,170.444,4,0.731,2820
10,From Moment To Moment,39,736160,0.678,0.461,0.422,0.844,10,0.646,-14.101,1,0.0367,134.791,4,0.139,6058
11,Grace Kelly,60,187733,0.0219,0.678,0.847,0.0329,0,0.373,-5.825,1,0.0519,122.287,4,0.601,4308
12,We Are,54,198106,0.00108,0.575,0.882,0,11,0.0452,-4.295,0,0.109,120.994,4,0.581,17439
13,Blue Moon,49,246909,0.0454,0.874,0.523,0.0146,9,0.111,-6.246,0,0.0582,139.993,4,0.312,3575
14,Wolves,87,197993,0.129,0.72,0.807,0,11,0.183,-4.59,0,0.0432,124.946,4,0.305,3266
15,Enjoy the Silence - 2006 - Remaster,13,257927,0.0626,0.659,0.75,7.41E-05,0,0.0892,-8.119,0,0.0266,112.913,4,0.751,2489
16,L.A.LOVE (la la),0,192653,0.0183,0.478,0.386,0,4,0.264,-7.999,0,0.0893,201.753,4,0.268,61006
17,Hall Of Mirrors,31,398268,0.0755,0.659,0.97,0.946,6,0.0814,-7.62,1,0.0435,135.875,4,0.384,9788
18,Life - Dream Version,46,236166,0.677,0.541,0.294,0.92,9,0.329,-14.865,0,0.0332,120.035,3,0.486,7666
19,Thru These Tears,82,204515,0.154,0.711,0.517,0,11,0.149,-7.695,1,0.0391,119.945,4,0.294,9996
20,Khalij,16,264333,0.845,0.27,0.269,1.39E-05,2,0.19,-11.652,0,0.0337,113.789,3,0.238,7593
21,Bring Me To Life,80,235893,0.00895,0.316,0.945,1.85E-06,4,0.396,-3.169,0,0.124,189.931,4,0.32,3851
22,Neon Church,69,213399,0.0836,0.471,0.791,0,0,0.0868,-4.817,1,0.0506,128.007,4,0.355,5459
23,High (feat. Elton John),81,195160,0.223,0.759,0.498,5.84E-05,10,0.406,-10.615,1,0.0776,126.972,4,0.244,3217
24,A Little More,73,144720,0.797,0.376,0.211,0,4,0.196,-11.665,1,0.0364,94.7,3,0.228,8684
25,Good Rockin' Daddy,38,148666,0.854,0.745,0.398,0,3,0.324,-6.75,1,0.0378,114.467,4,0.65,17486
26,El Tabaco,25,199920,0.674,0.569,0.682,0.000513,10,0.116,-8.831,0,0.0457,142.854,4,0.975,79343
27,Everyday - Single Version,54,128266,0.497,0.735,0.257,0,8,0.081,-10.748,1,0.0344,135.48,4,0.513,9041
28,To a T,71,178813,0.17,0.687,0.641,0,11,0.111,-5.814,1,0.03,120.04,4,0.663,79171
29,Gmail,69,216946,0.07,0.763,0.708,0.0106,8,0.13,-6.297,1,0.134,160.035,4,0.732,26561
30,Rock the Casbah - Remastered,72,222426,0.287,0.796,0.872,0,9,0.284,-6.722,0,0.0573,129.894,4,0.866,7409
31,Speechless,80,212745,0.328,0.631,0.44,0,1,0.239,-5.948,1,0.028,136.033,4,0.418,9793
32,What You Need,43,203619,0.126,0.561,0.545,0.000978,10,0.115,-6.237,0,0.0483,83.458,4,0.194,3532
33,Philosophize In It! Chemicalize With It!,53,200533,0.245,0.316,0.828,0.000356,0,0.158,-5.313,1,0.0376,136.899,4,0.356,4137
34,Iron Man - Remastered Version,67,355303,0.00349,0.336,0.792,0.00178,9,0.0437,-10.875,1,0.0848,155.588,4,0.425,4713
35,Midnight Summer Jam,60,312533,0.101,0.805,0.759,0.354,10,0.183,-5.198,0,0.0438,120.057,4,0.721,7329
36,Fri-End? - Radio Edit,14,184898,0.000854,0.321,0.943,0.000113,4,0.461,-2.271,1,0.085,176.05,4,0.672,97566
37,Juno,54,231680,0.921,0.442,0.267,0.00026,7,0.148,-12.857,1,0.0365,120.075,4,0.116,7608
38,Visa (feat. Yaw Mini & F. Dowell),40,185919,0.741,0.592,0.558,0.002,10,0.0967,-9.067,1,0.253,104.243,4,0.302,86684
39,Get The Party Started,67,191666,0.00127,0.806,0.902,0,11,0.212,-3.387,0,0.0475,128.943,4,0.961,6705
40,Slow Dancing in a Burning Room - Acoustic,62,232706,0.835,0.611,0.313,0.000315,4,0.111,-10.242,1,0.0339,134.858,3,0.378,3805
41,Chasing Fire - Robin Schulz Remix,23,217678,0.0067,0.607,0.717,0.00132,5,0.256,-5.771,1,0.0634,125.956,4,0.376,4668
42,Don't Break Up,57,278556,0.18,0.817,0.586,0.615,9,0.0558,-7.56,0,0.338,119.984,4,0.514,6590
43,This Is The Day,58,297066,0.0131,0.56,0.875,0.000693,10,0.063,-4.483,1,0.0518,141.661,4,0.538,9364
